,event_key,total_person_count,injured_person_count,Minor_count,Serious_count,Fatal_count,ev_id,Aircraft_key
174,20080318X00327_1,2.0,0.0,0.0,0.0,0.0,20080318X00327,1
175,20080318X00329_1,2.0,0.0,0.0,0.0,0.0,20080318X00329,1
176,20080319X00330_1,2.0,0.0,0.0,0.0,0.0,20080319X00330,1
177,20080319X00331_1,2.0,2.0,0.0,0.0,2.0,20080319X00331,1
178,20080319X00332_1,2.0,2.0,0.0,0.0,2.0,20080319X00332,1
179,20080319X00333_1,2.0,0.0,0.0,0.0,0.0,20080319X00333,1
180,20080319X00334_1,1.0,0.0,0.0,0.0,0.0,20080319X00334,1
181,20080319X00335_1,2.0,0.0,0.0,0.0,0.0,20080319X00335,1
182,20080319X00336_1,2.0,2.0,0.0,0.0,2.0,20080319X00336,1
183,20080319X00337_1,2.0,1.0,0.0,1.0,0.0,20080319X00337,1
184,20080319X00338_1,3.0,3.0,0.0,0.0,3.0,20080319X00338,1
185,20080319X00339_1,6.0,6.0,0.0,0.0,6.0,20080319X00339,1
186,20080320X00340_1,2.0,2.0,0.0,0.0,2.0,20080320X00340,1
187,20080320X00341_1,1.0,0.0,0.0,0.0,0.0,20080320X00341,1
188,20080320X00343_1,2.0,0.0,0.0,0.0,0.0,20080320X00343,1
189,20080320X00346_1,1.0,0.0,0.0,0.0,0.0,20080320X00346,1
190,20080321X00348_1,2.0,2.0,0.0,0.0,2.0,20080321X00348,1
191,20080321X00349_1,4.0,4.0,0.0,0.0,4.0,20080321X00349,1
192,20080321X00352_1,1.0,0.0,0.0,0.0,0.0,20080321X00352,1
193,20080321X00353_1,2.0,0.0,0.0,0.0,0.0,20080321X00353,1
194,20080321X00354_1,2.0,0.0,0.0,0.0,0.0,20080321X00354,1
195,20080321X00355_1,1.0,0.0,0.0,0.0,0.0,20080321X00355,1
196,20080321X00356_1,2.0,0.0,0.0,0.0,0.0,20080321X00356,1
197,20080321X00357_1,1.0,1.0,0.0,0.0,1.0,20080321X00357,1
198,20080321X00358_1,1.0,0.0,0.0,0.0,0.0,20080321X00358,1
199,20080321X00359_1,3.0,0.0,0.0,0.0,0.0,20080321X00359,1
200,20080321X00361_1,2.0,2.0,2.0,0.0,0.0,20080321X00361,1
201,20080321X00362_1,1.0,0.0,0.0,0.0,0.0,20080321X00362,1
202,20080321X00363_1,1.0,0.0,0.0,0.0,0.0,20080321X00363,1
203,20080321X00364_1,1.0,0.0,0.0,0.0,0.0,20080321X00364,1
204,20080322X00365_1,1.0,0.0,0.0,0.0,0.0,20080322X00365,1
205,20080322X00366_1,1.0,0.0,0.0,0.0,0.0,20080322X00366,1
206,20080322X00367_1,4.0,0.0,0.0,0.0,0.0,20080322X00367,1
207,20080322X00368_1,1.0,1.0,1.0,0.0,0.0,20080322X00368,1
208,20080324X00369_1,1.0,1.0,0.0,0.0,1.0,20080324X00369,1
209,20080324X00370_1,3.0,3.0,2.0,1.0,0.0,20080324X00370,1
210,20080324X00372_1,1.0,0.0,0.0,0.0,0.0,20080324X00372,1
211,20080324X00373_1,2.0,0.0,0.0,0.0,0.0,20080324X00373,1
