ev_id,ntsb_no,ev_type,ev_date,ev_time,ev_country,ev_year,ev_month,on_ground_collision,latitude,longitude,apt_dist,light_cond,wind_vel_kts,gust_kts,altimeter,ev_highest_injury,inj_f_grnd,inj_m_grnd,inj_s_grnd,ev_inj_tot_f,ev_inj_tot_m,ev_inj_tot_n,ev_inj_tot_s,ev_inj_tot_t,BroadPhaseofFlight,aircraft_count,Aircraft_ID,event_key,Aircraft_Key,eng_type,far_part,damage,acft_make,acft_category,homebuilt,total_seats,num_eng,fixed_retractable,date_last_insp,owner_acft,certs_held,oprtng_cert,oper_cert,second_pilot,evacuation,rwy_len,rwy_width,acft_year,fuel_on_board,unmanned,acft_fatal_count,acft_minor_count,acft_none_count,acft_serious_count,acft_total_person_count,acft_injured_person_count
20221213106451,ERA23FA087,ACC,12/13/22 00:00:00,1525.0,USA,2022,12,,033028N,0855712W,5.5,DAYL,8.0,0.0,30.139999,FATL,0.0,0.0,0.0,1,0,0,0,1.0,Enroute,1.0,1,20221213106451_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221213106455,WPR23LA065,ACC,12/13/22 00:00:00,1006.0,USA,2022,12,,047257N,0109280W,0.0,DAYL,3.0,0.0,29.969999,NONE,,,,0,0,4,0,4.0,Landing,1.0,1,20221213106455_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221213106456,WPR23LA066,ACC,12/13/22 00:00:00,135.0,USA,2022,12,,391035N,1214126W,0.0,DUSK,7.0,0.0,29.77,NONE,,,,0,0,3,0,3.0,Enroute,1.0,1,20221213106456_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221215106460,ERA23LA088,ACC,12/10/22 00:00:00,1530.0,USA,2022,12,,331040N,0086470W,0.0,DAYL,3.0,0.0,30.120001,NONE,0.0,0.0,0.0,0,0,2,0,2.0,Landing,1.0,1,20221215106460_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221215106461,ERA23LA089,ACC,12/13/22 00:00:00,1055.0,USA,2022,12,,345135N,0794510W,2.0,DAYL,5.0,0.0,30.35,NONE,,0.0,,0,0,2,0,2.0,Approach,1.0,1,20221215106461_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221215106462,CEN23LA064,ACC,12/15/22 00:00:00,815.0,USA,2022,12,,029855N,0913414W,0.0,DAYL,15.0,20.0,3007.0,MINR,0.0,0.0,0.0,0,3,0,0,3.0,Takeoff,1.0,1,20221215106462_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221215106463,ERA23LA090,ACC,12/14/22 00:00:00,1045.0,USA,2022,12,,182724N,0066554W,0.0,DAYL,,0.0,30.030001,NONE,,,,0,0,1,0,1.0,Landing,1.0,1,20221215106463_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221216106464,CEN23LA065,ACC,12/15/22 00:00:00,1056.0,USA,2022,12,Y,033122N,0971139W,0.0,DAYL,9.0,17.0,30.09,NONE,,,,0,0,4,0,4.0,Taxi,1.0,1,20221216106464_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221216106468,ANC23FA008,ACC,12/15/22 00:00:00,2114.0,USA,2022,12,,203330N,0156414W,0.0,NDRK,,0.0,29.889999,FATL,,,,3,0,0,0,3.0,Enroute,1.0,1,20221216106468_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221216106469,WPR23LA068,ACC,12/11/22 00:00:00,2217.0,USA,2022,12,,383445N,1211755W,6.0,DAYL,12.0,0.0,0.0,NONE,,,,0,0,2,0,2.0,Landing,1.0,1,20221216106469_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
