,accident_id,engine_ELEC,engine_GTFN,engine_HR,engine_LR,engine_NONE,engine_REC,engine_TF,engine_TJ,engine_TP,engine_TS,engine_UNK
207,20080413X00463_1,0,0,0,0,0,1,0,0,0,0,0
208,20080416X00490_1,0,0,0,0,0,1,0,0,0,0,0
209,20080430X00566_1,0,0,0,0,0,1,0,0,0,0,0
210,20080407X00435_1,0,0,0,0,0,1,0,0,0,0,0
211,20080418X00518_1,0,0,0,0,0,1,0,0,0,0,0
212,20080318X00322_1,0,0,0,0,0,0,0,0,0,1,0
213,20080311X00297_1,0,0,0,0,0,0,0,1,0,0,0
215,20080404X00430_1,0,0,0,0,0,1,0,0,0,0,0
216,20080305X00272_1,0,0,0,0,0,1,0,0,0,0,0
217,20080305X00265_1,0,0,0,0,0,1,0,0,0,0,0
218,20080305X00265_2,0,0,0,0,0,1,0,0,0,0,0
219,20080322X00366_1,0,0,0,0,0,1,0,0,0,0,0
220,20080307X00284_1,0,0,0,0,0,1,0,0,0,0,0
221,20080321X00353_1,0,0,0,0,0,1,0,0,0,0,0
222,20080414X00468_1,0,0,0,0,0,1,0,0,0,0,0
224,20080502X00584_1,0,0,0,0,0,1,0,0,0,0,0
225,20080306X00274_1,0,0,0,0,0,1,0,0,0,0,0
226,20080320X00343_1,0,0,0,0,0,1,0,0,0,0,0
227,20080314X00314_1,0,0,0,0,0,0,0,0,0,1,0
228,20080327X00392_1,0,0,0,0,0,1,0,0,0,0,0
229,20080610X00818_1,0,0,0,0,0,1,0,0,0,0,0
230,20080310X00289_1,0,0,0,0,0,1,0,0,0,0,0
231,20080310X00291_1,0,0,0,0,0,1,0,0,0,0,0
232,20080404X00429_1,0,0,0,0,0,1,0,0,0,0,0
233,20080320X00341_1,0,0,0,0,0,1,0,0,0,0,0
234,20080325X00383_1,0,0,0,0,0,1,0,0,0,0,0
235,20080417X00506_1,0,0,0,0,0,1,0,0,0,0,0
236,20080518X00690_1,0,0,0,0,0,1,0,0,0,0,0
237,20080318X00327_1,0,0,0,0,0,0,1,0,0,0,0
239,20080311X00294_1,0,0,0,0,0,1,0,0,0,0,0
240,20080603X00781_1,0,0,0,0,0,1,0,0,0,0,0
241,20080409X00442_1,0,0,0,0,0,0,0,0,0,1,0
243,20080416X00489_1,0,0,0,0,0,1,0,0,0,0,0
244,20080403X00421_1,0,0,0,0,0,1,0,0,0,0,0
245,20080411X00454_1,0,0,0,0,0,1,0,0,0,0,0
246,20080317X00320_1,0,0,0,0,0,1,0,0,0,0,0
247,20080403X00423_1,0,0,0,0,0,1,0,0,0,0,0
248,20080317X00318_1,0,0,0,0,0,1,0,0,0,0,0
249,20080317X00315_1,0,0,0,0,0,1,0,0,0,0,0
250,20080317X00321_1,0,0,0,0,0,1,0,0,0,0,0
